freq,unit,coicop,geo\TIME_PERIOD	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,INX_A_AVG,CP01154,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.65 	98.65 	97.48 	98.45 	109.73 	163.74 	155.93 	137.36 
A,INX_A_AVG,CP01154,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.65 	98.65 	97.48 	98.45 	109.73 	163.74 	156.21 	137.52 
A,INX_A_AVG,CP01154,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.76 	98.78 	97.66 	98.62 	110.24 	164.01 	155.58 	137.05 
A,INX_A_AVG,CP01154,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.78 	106.31 	105.89 	102.37 	103.42 	112.18 	167.71 	160.51 	148.12 
A,INX_A_AVG,CP01154,EEA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.02 	99.10 	98.31 	100.55 	115.39 	166.36 	157.44 	137.88 
A,INX_A_AVG,CP01154,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	108.86 	107.53 	105.63 	97.54 	103.07 	117.41 	157.78 	154.01 	135.41 
A,INX_A_AVG,CP01154,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.55 	92.22 	90.93 	89.34 	91.00 	115.49 	191.62 	149.58 	129.50 
A,INX_A_AVG,CP01154,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.02 	99.08 	98.28 	100.49 	115.35 	166.39 	157.41 	137.78 
A,INX_A_AVG,CP01154,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.02 	99.08 	98.28 	100.49 	115.35 	166.39 	157.41 	137.78 
A,INX_A_AVG,CP01154,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.02 	99.08 	98.28 	: 	: 	: 	: 	: 
A,INX_A_AVG,CP01154,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.03 	101.57 	102.60 	103.23 	106.87 	129.05 	148.46 	143.57 
A,INX_A_AVG,CP01154,FR	63.47 	64.10 	68.92 	71.42 	70.27 	70.97 	76.14 	77.47 	76.03 	73.92 	78.11 	78.79 	93.21 	96.38 	91.68 	98.36 	102.03 	102.05 	100.13 	100.00 	100.42 	101.39 	102.31 	103.60 	102.92 	104.52 	145.92 	157.13 	137.77 
A,INX_A_AVG,CP01154,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	104.43 	104.14 	104.03 	104.75 	106.00 	132.18 	174.92 	127.59 	114.89 
A,INX_A_AVG,CP01154,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	107.09 	107.88 	107.69 	107.52 	112.67 	144.40 	155.41 	152.06 	151.93 
A,INX_A_AVG,CP01154,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	102.5 	98.5 	97.1 	96.5 	96.0 	105.1 	115.8 	116.3 
A,INX_A_AVG,CP01154,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.50 	89.64 	88.81 	92.95 	100.08 	102.82 	118.27 	134.05 	135.50 
A,INX_A_AVG,CP01154,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91.1 	96.6 	100.6 	102.5 	100.9 	100.0 	99.9 	99.9 	99.5 	98.2 	99.8 	111.4 	168.7 	159.2 	138.1 
A,INX_A_AVG,CP01154,LT	68.55 	66.28 	66.00 	62.32 	55.28 	52.39 	61.02 	60.11 	58.91 	59.10 	60.77 	70.26 	102.51 	99.01 	93.51 	117.67 	113.23 	106.06 	99.96 	100.00 	107.84 	110.90 	108.95 	109.51 	111.52 	125.27 	182.60 	179.09 	144.40 
A,INX_A_AVG,CP01154,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	100.74 	103.75 	104.52 	105.09 	104.45 	108.05 	135.66 	147.57 	138.75 
A,INX_A_AVG,CP01154,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	100.92 	104.61 	99.61 	99.42 	101.02 	119.73 	169.97 	175.04 	162.39 
A,INX_A_AVG,CP01154,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 d	110.30 d	109.66 d	105.03 d	104.69 d	109.86 d	155.26 d	206.25 d	159.00 d	143.79 d
A,INX_A_AVG,CP01154,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 d	100.27 d	96.87 d	93.66 d	90.73 d	105.04 d	138.38 d	196.73 d	138.34 d	124.33 d
A,INX_A_AVG,CP01154,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.56 	101.40 	100.13 	101.36 	103.11 	118.86 	194.50 	173.62 	143.29 
A,INX_A_AVG,CP01154,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.20 	99.29 	98.20 	103.36 	102.15 	100.00 	100.89 	101.81 	100.22 	104.21 	106.21 	113.40 	171.77 	184.47 	152.52 
A,INX_A_AVG,CP01154,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	110.2 	115.2 	122.7 	132.9 	148.1 	176.8 	198.2 	203.4 
A,INX_A_AVG,CP01154,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	99.7 	101.9 	102.0 	102.3 	105.3 	115.5 	156.7 	158.3 	144.0 
A,INX_A_AVG,CP01154,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	99.75 	97.83 	95.36 	91.72 	91.24 	107.87 	161.51 	122.64 	106.74 
A,INX_A_AVG,CP01154,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.64 	99.88 	99.91 	104.07 	124.84 	179.44 	164.00 	128.84 
A,INX_A_AVG,CP01154,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	110.7 d	109.2 d	98.0 d	92.9 d	110.0 d	142.4 d	164.8 d	158.5 d	134.5 d
A,INX_A_AVG,CP01154,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.22 	100.00 	99.75 	101.13 	103.46 	107.35 	113.94 	115.17 	149.09 	165.54 	140.13 
A,INX_A_AVG,CP01154,SI	: 	: 	: 	: 	: 	43.89 	56.89 	62.05 	60.87 	59.18 	57.48 	60.67 	90.17 	90.73 	92.22 	103.09 	102.25 	102.44 	99.90 	100.00 	99.58 	91.72 	90.13 	88.92 	91.21 	97.87 	140.70 	134.49 	112.51 
A,INX_A_AVG,CP01154,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.29 	99.25 	98.97 	99.82 	105.17 	117.78 	188.37 	185.81 	175.76 
A,INX_A_AVG,CP01154,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	102.26 d	100.59 d	97.31 d	99.11 d	107.26 d	141.84 d	212.22 d	170.53 d	151.76 d
A,INX_A_AVG,CP01155,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	100.8 	101.5 	100.9 	106.6 	119.2 	118.5 	142.6 	183.9 	176.1 
A,INX_A_AVG,CP01155,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	105.4 	119.7 	125.5 	122.5 	125.6 	131.3 	153.4 	163.0 	177.4 
A,INX_A_AVG,CP01155,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	104.90 	109.67 	108.03 	112.92 	117.01 	137.59 	152.75 	159.62 
A,INX_A_AVG,CP01155,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	104.90 	109.67 	108.03 	112.92 	117.01 	137.59 	151.48 	159.83 
A,INX_A_AVG,CP01155,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	104.81 	109.30 	108.01 	113.48 	116.30 	138.29 	154.30 	161.24 
A,INX_A_AVG,CP01155,EEA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103.86 	107.72 	110.72 	122.52 	124.34 	156.31 	184.70 	177.88 
A,INX_A_AVG,CP01155,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103.86 	107.72 	110.72 	122.52 	124.34 	156.31 	184.70 	177.88 
A,INX_A_AVG,CP01155,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103.86 	107.72 	110.72 	122.52 	124.34 	156.31 	184.70 	177.88 
A,INX_A_AVG,CP01155,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103.86 	107.72 	110.72 	: 	: 	: 	: 	: 
A,INX_A_AVG,CP01155,FR	70.84 	72.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,INX_A_AVG,CP01155,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	89.82 	87.00 	82.60 	81.61 	89.66 	85.33 	109.81 	132.73 	131.65 
A,INX_A_AVG,CP01155,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	96.48 	101.20 	105.56 	108.18 	123.46 	126.48 	169.61 	196.12 	173.22 
A,INX_A_AVG,CP01155,LT	53.14 	56.44 	57.31 	54.36 	52.36 	59.26 	63.33 	61.05 	62.26 	66.94 	67.92 	66.34 	69.73 	79.58 	82.84 	86.20 	100.81 	101.84 	103.35 	100.00 	98.00 	99.33 	97.03 	90.99 	101.04 	109.94 	167.00 	206.26 	198.06 
A,INX_A_AVG,CP01155,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	99.69 	109.27 	112.08 	111.46 	117.11 	118.14 	127.82 	140.20 	143.66 
A,INX_A_AVG,CP01155,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 d	94.75 d	86.77 d	89.31 d	92.26 d	91.90 d	92.94 d	107.83 d	143.21 d	179.43 d
A,INX_A_AVG,CP01155,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	95.8 	101.6 	104.3 	108.7 	128.2 	132.0 	171.0 	210.1 	202.0 
A,INX_A_AVG,CP01155,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95.73 	105.04 	117.53 	122.32 	120.04 	137.09 	159.71 	173.30 
A,INX_A_AVG,CP01155,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88.9 d	88.6 d	93.6 d	91.5 d	98.5 d	104.9 d	145.8 d	229.3 d	253.8 d
A,INX_A_AVG,CP01155,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.46 	106.61 	127.81 	126.75 	137.70 	151.55 	151.91 
A,INX_A_AVG,CP01155,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.62 	101.11 	104.45 	104.94 	112.49 	112.82 	144.78 	188.94 	181.77 
A,INX_A_AVG,CP0116,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	115.98 d	131.97 d	140.21 d	147.47 d	169.85 d	178.66 d	181.40 d	193.67 d	197.40 d
A,INX_A_AVG,CP0116,AT	57.41 	61.63 	68.91 	67.44 	77.96 	83.73 	86.17 	88.08 	87.02 	83.86 	84.04 	87.77 	92.92 	88.95 	92.66 	104.49 	95.36 	98.25 	98.13 	100.00 	102.71 	102.38 	102.46 	97.37 	101.84 	103.31 	107.73 	112.44 	112.77 
A,INX_A_AVG,CP0116,BE	64.67 	69.34 	70.99 	68.88 	69.21 	74.77 	79.79 	83.65 	83.39 	83.32 	84.34 	86.39 	92.26 	88.48 	90.48 	89.55 	92.42 	100.25 	95.79 	100.00 	103.76 	98.73 	102.22 	100.85 	108.87 	101.85 	106.56 	118.23 	120.70 
A,INX_A_AVG,CP0116,BG	: 	45.31 	52.86 	53.94 	56.72 	60.89 	63.36 	58.99 	61.45 	67.65 	73.53 	80.99 	98.48 	86.12 	83.74 	88.84 	92.33 	91.89 	92.49 	100.00 	99.68 	102.97 	105.15 	105.44 	118.20 	117.32 	130.04 	142.91 	152.10 
A,INX_A_AVG,CP0116,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	94.78 	100.00 	100.58 	104.42 	102.23 	99.26 	90.19 	91.80 	97.65 	97.68 	100.00 	100.71 	101.82 	105.78 	103.65 	104.36 	97.97 	97.14 	102.63 	103.23 
A,INX_A_AVG,CP0116,CY	69.63 	75.29 	73.43 	75.91 	81.73 	89.13 	90.42 	91.57 	87.06 	82.18 	87.99 	93.43 	107.84 	111.04 	103.88 	109.44 	99.40 	100.27 	100.12 	100.00 	104.12 	101.63 	106.36 	108.18 	113.76 	125.88 	123.25 	130.42 	141.27 
A,INX_A_AVG,CP0116,CZ	: 	: 	: 	: 	73.3 	82.8 	80.4 	81.4 	83.7 	86.9 	81.5 	87.6 	91.3 	84.1 	86.3 	89.5 	95.2 	96.1 	97.7 	100.0 	98.2 	100.4 	103.1 	99.0 	117.3 	115.7 	119.7 	132.9 	131.9 
A,INX_A_AVG,CP0116,DE	66.6 	67.5 	69.5 	67.3 	67.2 	72.7 	72.7 	71.8 	71.7 	73.3 	75.1 	76.8 	80.1 	77.0 	81.0 	84.7 	89.6 	95.8 	95.5 	100.0 	103.8 	106.8 	111.1 	106.5 	113.9 	115.7 	120.2 	130.2 	136.7 
A,INX_A_AVG,CP0116,DK	78.1 	82.1 	82.7 	82.5 	80.9 	86.8 	89.1 	90.0 	88.3 	86.8 	91.8 	93.5 	98.1 	95.0 	93.9 	93.5 	93.2 	95.8 	94.7 	100.0 	106.8 	107.4 	105.2 	106.1 	108.1 	108.1 	115.0 	119.8 	122.3 
A,INX_A_AVG,CP0116,EA	64.44 	65.00 	67.46 	67.33 	67.51 	72.79 	76.63 	80.04 	80.57 	80.14 	80.90 	83.66 	88.82 	87.19 	88.40 	90.78 	93.29 	99.62 	96.39 	100.00 	103.68 	106.40 	111.05 	109.00 	116.99 	118.47 	125.59 	135.97 	140.41 
A,INX_A_AVG,CP0116,EA19	: 	: 	: 	: 	67.41 	72.73 	76.49 	79.85 	80.40 	80.03 	80.89 	83.71 	88.95 	87.14 	88.35 	90.79 	93.30 	99.60 	96.40 	100.00 	103.68 	106.40 	111.05 	109.00 	116.99 	118.47 	125.59 	135.93 	140.36 
A,INX_A_AVG,CP0116,EA20	: 	: 	: 	: 	67.36 	72.68 	76.42 	79.78 	80.31 	79.94 	80.81 	83.64 	88.95 	87.13 	88.32 	90.78 	93.32 	99.61 	96.38 	100.00 	103.66 	106.37 	111.00 	108.92 	116.92 	118.40 	125.53 	135.92 	140.36 
A,INX_A_AVG,CP0116,EE	54.53 	51.75 	50.51 	49.83 	49.66 	52.18 	55.02 	54.46 	58.41 	59.22 	65.58 	71.37 	83.98 	74.09 	75.17 	82.22 	88.91 	97.19 	93.51 	100.00 	100.77 	108.81 	111.81 	107.20 	121.82 	121.65 	135.01 	157.80 	161.55 
A,INX_A_AVG,CP0116,EEA	62.82 	63.53 	65.86 	65.90 	65.98 	71.13 	74.51 	77.51 	77.55 	77.67 	78.65 	81.59 	86.94 	85.57 	87.86 	90.36 	93.02 	98.98 	96.66 	100.00 	103.08 	106.34 	110.42 	108.65 	118.48 	119.11 	127.04 	138.43 	142.86 
A,INX_A_AVG,CP0116,EL	63.15 	68.06 	72.98 	71.91 	71.25 	80.61 	92.88 	106.36 	95.31 	85.93 	84.68 	89.57 	100.22 	102.81 	96.75 	99.45 	103.58 	106.05 	97.29 	100.00 	94.84 	97.75 	99.44 	98.03 	112.08 	110.55 	115.75 	126.01 	129.58 
A,INX_A_AVG,CP0116,ES	53.86 	52.35 	53.91 	57.42 	57.03 	60.41 	65.61 	72.30 	77.79 	81.31 	81.99 	85.14 	92.09 	92.42 	92.12 	91.84 	91.45 	99.54 	96.60 	100.00 	105.45 	106.12 	113.10 	112.01 	120.57 	124.48 	136.62 	144.85 	151.34 
A,INX_A_AVG,CP0116,EU	62.79 	63.47 	65.79 	65.81 	65.88 	71.05 	74.49 	77.49 	77.53 	77.66 	78.61 	81.60 	86.99 	85.54 	87.88 	90.42 	93.09 	99.10 	96.72 	100.00 	103.11 	106.44 	110.50 	108.67 	118.52 	119.25 	127.22 	138.59 	143.01 
A,INX_A_AVG,CP0116,EU27_2020	: 	: 	: 	: 	: 	71.28 	74.81 	78.05 	78.80 	79.06 	80.19 	83.47 	88.99 	86.90 	88.40 	91.09 	93.68 	99.33 	96.30 	100.00 	103.30 	106.68 	110.87 	108.85 	118.68 	119.41 	127.40 	138.78 	143.21 
A,INX_A_AVG,CP0116,EU28	: 	: 	: 	: 	: 	70.94 	74.22 	77.26 	77.60 	77.91 	78.96 	81.85 	87.33 	85.86 	88.19 	90.75 	93.46 	99.40 	96.72 	100.00 	103.11 	106.44 	110.50 	108.67 	: 	: 	: 	: 	: 
A,INX_A_AVG,CP0116,FI	62.30 	63.57 	68.87 	68.31 	66.83 	72.62 	80.35 	81.16 	82.23 	83.68 	85.12 	87.37 	95.63 	93.99 	90.13 	91.03 	93.02 	103.12 	100.79 	100.00 	100.52 	101.58 	105.48 	102.91 	107.44 	104.72 	110.39 	118.36 	119.61 
A,INX_A_AVG,CP0116,FR	66.96 	68.95 	71.51 	69.00 	70.19 	77.78 	81.21 	86.06 	83.01 	82.14 	84.09 	86.47 	90.95 	85.60 	89.67 	91.23 	95.22 	101.05 	95.63 	100.00 	105.20 	107.53 	113.84 	114.26 	123.45 	127.81 	133.68 	144.18 	146.56 
A,INX_A_AVG,CP0116,HR	: 	: 	63.92 	63.64 	63.13 	67.01 	66.96 	69.28 	67.15 	66.67 	69.85 	73.03 	86.38 	83.10 	82.49 	86.41 	93.85 	98.58 	93.78 	100.00 	100.40 	102.16 	103.64 	95.66 	104.89 	105.57 	113.93 	129.51 	134.32 
A,INX_A_AVG,CP0116,HU	: 	: 	: 	: 	: 	50.64 	57.98 	54.32 	57.43 	60.96 	66.91 	76.64 	80.41 	76.60 	78.65 	85.55 	89.82 	93.60 	89.91 	100.00 	103.46 	108.02 	114.91 	117.51 	150.39 	153.62 	178.62 	209.97 	217.76 
A,INX_A_AVG,CP0116,IE	87.9 	92.8 	97.6 	98.9 	101.8 	103.4 	107.8 	108.8 	109.1 	107.8 	109.9 	114.5 	115.7 	109.3 	104.6 	108.8 	106.5 	105.7 	102.8 	100.0 	100.1 	100.3 	99.6 	98.7 	98.3 	97.8 	101.1 	108.2 	110.4 
A,INX_A_AVG,CP0116,IS	43.14 	46.30 	47.96 	49.06 	52.07 	58.92 	57.42 	49.47 	49.61 	42.37 	46.56 	46.73 	64.67 	83.31 	84.80 	86.31 	87.73 	96.41 	93.55 	100.00 	96.72 	88.01 	94.60 	98.49 	107.36 	106.67 	107.57 	118.44 	125.90 
A,INX_A_AVG,CP0116,IT	69.8 	68.7 	71.9 	72.4 	71.9 	75.5 	81.7 	86.2 	89.2 	84.5 	82.4 	86.6 	92.1 	94.2 	90.9 	93.5 	95.6 	101.0 	97.0 	100.0 	102.2 	107.7 	111.7 	109.8 	116.8 	116.3 	124.5 	135.3 	140.0 
A,INX_A_AVG,CP0116,LT	73.27 	65.97 	61.08 	58.31 	51.43 	53.94 	53.95 	53.33 	57.08 	61.48 	70.26 	78.04 	90.62 	79.59 	77.45 	84.73 	86.71 	90.30 	93.58 	100.00 	100.67 	102.60 	99.45 	96.82 	108.55 	111.69 	124.27 	137.50 	139.80 
A,INX_A_AVG,CP0116,LU	61.27 	61.87 	64.68 	65.14 	66.40 	71.15 	76.95 	79.67 	83.45 	82.12 	82.60 	85.79 	92.45 	93.39 	91.80 	93.40 	94.39 	100.67 	96.89 	100.00 	103.39 	107.64 	110.85 	107.37 	115.14 	115.27 	115.82 	124.96 	127.86 
A,INX_A_AVG,CP0116,LV	41.53 	35.56 	34.36 	36.80 	36.61 	41.64 	43.26 	50.82 	55.20 	60.90 	69.11 	83.17 	96.83 	86.47 	90.19 	95.59 	99.66 	99.76 	95.81 	100.00 	101.01 	106.15 	105.71 	104.85 	118.95 	115.18 	130.90 	149.17 	154.71 
A,INX_A_AVG,CP0116,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 d	94.26 d	103.51 d	102.65 d	106.39 d	117.82 d	121.75 d	137.90 d	147.21 d	150.82 d
A,INX_A_AVG,CP0116,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	159.19 d	152.38 d	155.56 d	190.46 d	132.72 d	112.61 d	111.40 d	93.38 d	99.39 d	95.57 d	100.00 d	95.81 d	97.46 d	100.03 d	95.99 d	107.66 d	103.24 d	114.14 d	126.36 d	136.23 d
A,INX_A_AVG,CP0116,MT	64.33 	64.47 	63.79 	61.56 	60.13 	65.15 	66.13 	65.58 	69.44 	71.36 	74.02 	78.02 	85.69 	92.59 	86.73 	88.15 	92.34 	102.34 	98.32 	100.00 	103.91 	107.87 	111.26 	113.03 	121.27 	129.58 	142.12 	158.29 	164.92 
A,INX_A_AVG,CP0116,NL	65.78 	68.88 	70.58 	71.55 	73.25 	80.57 	86.55 	86.31 	82.61 	79.97 	81.43 	83.20 	89.76 	88.55 	89.87 	93.66 	96.03 	101.94 	97.98 	100.00 	104.34 	107.13 	109.66 	107.74 	113.44 	111.92 	117.92 	126.97 	129.09 
A,INX_A_AVG,CP0116,NO	68.4 	73.2 	77.0 	79.5 	80.5 	84.2 	79.7 	82.0 	83.6 	83.4 	87.1 	84.8 	84.4 	89.3 	86.6 	86.1 	87.5 	88.4 	92.3 	100.0 	100.8 	99.0 	104.5 	108.0 	116.7 	109.1 	114.8 	130.0 	135.4 
A,INX_A_AVG,CP0116,PL	41.8 d	59.0 d	62.3 d	69.7 	69.1 	70.6 	68.3 	73.7 	75.3 	79.0 	80.8 	87.1 	91.0 	88.3 	97.6 	97.9 	99.2 	100.9 	98.2 	100.0 	104.9 	113.9 	114.1 	111.9 	131.4 	128.2 	139.9 	155.3 	159.3 
A,INX_A_AVG,CP0116,PT	66.76 	67.21 	70.82 	77.35 	70.94 	76.13 	80.04 	85.38 	88.31 	86.80 	87.19 	89.89 	92.91 	88.68 	91.60 	92.50 	90.95 	102.50 	94.37 	100.00 	107.38 	109.59 	112.02 	106.40 	115.93 	118.18 	125.96 	143.97 	142.07 
A,INX_A_AVG,CP0116,RO	: 	: 	: 	: 	: 	46.27 	58.60 	65.64 	67.35 	72.96 	75.36 	80.92 	90.84 	87.77 	88.06 	96.69 	100.22 	105.07 	98.84 	100.00 	95.44 	102.42 	105.46 	103.69 	120.40 	118.47 	129.92 	145.55 	153.05 
A,INX_A_AVG,CP0116,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.4 d	51.8 d	64.2 d	62.2 d	66.3 d	72.6 d	82.6 d	83.7 d	84.1 d	100.0 d	94.1 d	101.5 d	102.1 d	98.6 d	112.2 d	112.2 d	128.5 d	144.0 d	154.0 d
A,INX_A_AVG,CP0116,SE	57.28 	57.62 	58.90 	59.81 	58.62 	64.31 	67.47 	66.33 	67.90 	69.35 	72.74 	74.99 	82.99 	87.66 	86.39 	86.15 	88.13 	92.48 	93.41 	100.00 	103.27 	107.14 	113.20 	109.61 	115.87 	111.12 	121.87 	134.02 	132.63 
A,INX_A_AVG,CP0116,SI	: 	: 	: 	: 	49.59 	57.93 	57.60 	59.12 	59.12 	61.62 	59.90 	66.42 	74.37 	70.31 	70.95 	79.49 	83.15 	90.55 	92.05 	100.00 	102.19 	111.37 	117.67 	120.44 	135.77 	132.47 	149.56 	167.77 	179.03 
A,INX_A_AVG,CP0116,SK	62.45 	61.69 	62.31 	64.38 	63.02 	71.52 	70.43 	69.91 	70.25 	72.80 	75.72 	77.98 	85.24 	78.23 	81.55 	86.60 	91.29 	97.61 	96.00 	100.00 	101.00 	107.97 	115.43 	111.34 	118.79 	118.06 	130.05 	144.13 	148.96 
A,INX_A_AVG,CP0116,TR	1.26 d	2.67 d	4.83 d	7.07 d	10.25 d	16.41 d	26.54 d	33.12 d	36.90 d	35.83 d	40.66 d	48.91 d	51.51 d	54.83 d	58.92 d	62.05 d	66.46 d	75.67 d	87.84 d	100.00 d	102.14 d	117.29 d	134.93 d	162.47 d	193.70 d	224.56 d	369.95 d	635.81 d	1042.49 d
A,INX_A_AVG,CP0116,UK	62.4 	64.0 	64.9 	64.4 	64.6 	70.2 	71.0 	71.9 	69.9 	70.7 	71.3 	72.3 	77.1 	80.8 	87.1 	90.4 	92.0 	99.9 	100.2 	100.0 	101.1 	103.8 	106.7 	107.3 	: 	: 	: 	: 	: 
A,INX_A_AVG,CP0116,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96.53 d	103.53 d	101.75 d	97.10 d	101.92 d	92.44 d	87.43 d	97.44 d	102.09 d
